추가 엣지 총 468개

sibling:Marketing_Strategy | Brand_Management                              → B2B_Marketing_Strategy (similar_to, 0.75)
sibling:Executive_Leadership | Corporate_Strategy                            → CISO_CPO_Leadership (similar_to, 0.75)
sibling:Executive_Leadership | Corporate_Strategy                            → CISO_Leadership_and_Audit (similar_to, 0.75)
sibling:Executive_Leadership | B2B_Business_Management                       → Design_Leadership (similar_to, 0.75)
sibling:Executive_Leadership | B2B_Business_Management                       → Chief_Financial_Officer (similar_to, 0.75)
sibling:Executive_Leadership | B2B_Business_Management                       → Marketing_Leadership (similar_to, 0.75)
sibling:Executive_Leadership | B2B_Business_Management                       → CISO_CPO_Leadership (similar_to, 0.75)
sibling:Executive_Leadership | B2B_Business_Management                       → CISO_Leadership_and_Audit (similar_to, 0.75)
sibling:Executive_Leadership | Design_Leadership                             → Chief_Financial_Officer (similar_to, 0.75)
sibling:Executive_Leadership | Design_Leadership                             → Marketing_Leadership (similar_to, 0.75)
sibling:Executive_Leadership | Design_Leadership                             → CISO_CPO_Leadership (similar_to, 0.75)
sibling:Executive_Leadership | Design_Leadership                             → CISO_Leadership_and_Audit (similar_to, 0.75)
sibling:Executive_Leadership | Chief_Financial_Officer                       → Marketing_Leadership (similar_to, 0.75)
sibling:Executive_Leadership | Chief_Financial_Officer                       → CISO_CPO_Leadership (similar_to, 0.75)
sibling:Executive_Leadership | Chief_Financial_Officer                       → CISO_Leadership_and_Audit (similar_to, 0.75)
sibling:Executive_Leadership | Marketing_Leadership                          → CISO_CPO_Leadership (similar_to, 0.75)
sibling:Executive_Leadership | Marketing_Leadership                          → CISO_Leadership_and_Audit (similar_to, 0.75)
sibling:Executive_Leadership | CISO_CPO_Leadership                           → CISO_Leadership_and_Audit (similar_to, 0.75)
sibling:Commerce_Business | E_Commerce_Strategy                           → Global_E_Commerce_Marketing (similar_to, 0.75)
sibling:Commerce_Business | E_Commerce_Strategy                           → Merchandising_and_Sourcing (similar_to, 0.75)
sibling:Commerce_Business | Global_E_Commerce_Marketing                   → Merchandising_and_Sourcing (similar_to, 0.75)
sibling:Data_Driven_Marketing | DMP_Strategy                                  → Target_Audience_Analysis (similar_to, 0.75)
sibling:Artificial_Intelligence | ComputerVision                                → Natural_Language_Processing (similar_to, 0.75)
sibling:ComputerVision | Object_Detection                              → Medical_Image_Computing (similar_to, 0.75)
sibling:Financial_Modeling | Valuation_Modeling                            → Financial_Modeling_for_Strategy (similar_to, 0.75)
sibling:Business_Strategy | E_Commerce_Platform_Strategy                  → Management_Consulting (similar_to, 0.75)
sibling:Engineering_Leadership | TPM_Project_Management                        → Global_Platform_TPM (similar_to, 0.75)
sibling:Engineering_Leadership | TPM_Project_Management                        → Hardware_Project_Leadership (similar_to, 0.75)
sibling:Engineering_Leadership | Global_Platform_TPM                           → Hardware_Project_Leadership (similar_to, 0.75)
sibling:Cyber_Security | Vulnerability_Assessment                      → Enterprise_Security_Consulting (similar_to, 0.8)
sibling:Cyber_Security | Vulnerability_Assessment                      → Game_Infrastructure_Security (similar_to, 0.8)
sibling:Cyber_Security | Vulnerability_Assessment                      → Incident_Response_and_Compliance (similar_to, 0.8)
sibling:Cyber_Security | Vulnerability_Assessment                      → Offensive_Security_and_Vulnerability (similar_to, 0.8)
sibling:Cyber_Security | Enterprise_Security_Consulting                → Cloud_and_Infrastructure_Security (similar_to, 0.8)
sibling:Cyber_Security | Enterprise_Security_Consulting                → Game_Infrastructure_Security (similar_to, 0.8)
sibling:Cyber_Security | Enterprise_Security_Consulting                → Incident_Response_and_Compliance (similar_to, 0.8)
sibling:Cyber_Security | Enterprise_Security_Consulting                → Offensive_Security_and_Vulnerability (similar_to, 0.8)
sibling:Cyber_Security | Cloud_and_Infrastructure_Security             → Game_Infrastructure_Security (similar_to, 0.8)
sibling:Cyber_Security | Cloud_and_Infrastructure_Security             → Incident_Response_and_Compliance (similar_to, 0.8)
sibling:Cyber_Security | Cloud_and_Infrastructure_Security             → Offensive_Security_and_Vulnerability (similar_to, 0.8)
sibling:Cyber_Security | Game_Infrastructure_Security                  → Incident_Response_and_Compliance (similar_to, 0.8)
sibling:Cyber_Security | Game_Infrastructure_Security                  → Offensive_Security_and_Vulnerability (similar_to, 0.8)
sibling:Cyber_Security | Incident_Response_and_Compliance              → Offensive_Security_and_Vulnerability (similar_to, 0.8)
sibling:Hardware_Engineering | Mechanical_Design                             → Mass_Production_Process (similar_to, 0.75)
sibling:Hardware_Engineering | Mechanical_Design                             → AI_Semiconductor_Architecture (similar_to, 0.75)
sibling:Hardware_Engineering | Mechanical_Design                             → System_Board_Engineering (similar_to, 0.75)
sibling:Hardware_Engineering | Mechanical_Design                             → PBA_and_RF_Circuit_Design (similar_to, 0.75)
sibling:Hardware_Engineering | Mass_Production_Process                       → AI_Semiconductor_Architecture (similar_to, 0.75)
sibling:Hardware_Engineering | Mass_Production_Process                       → System_Board_Engineering (similar_to, 0.75)
sibling:Hardware_Engineering | Mass_Production_Process                       → PBA_and_RF_Circuit_Design (similar_to, 0.75)
sibling:Hardware_Engineering | AI_Semiconductor_Architecture                 → System_Board_Engineering (similar_to, 0.75)
sibling:Hardware_Engineering | AI_Semiconductor_Architecture                 → PBA_and_RF_Circuit_Design (similar_to, 0.75)
sibling:Hardware_Engineering | System_Board_Engineering                      → PBA_and_RF_Circuit_Design (similar_to, 0.75)
sibling:Mechanical_Design | Automotive_Chassis_Design                     → Production_Line_Design (similar_to, 0.75)
sibling:Mechanical_Engineering | NVH_Optimization                              → NVH_Engineering (similar_to, 0.75)
sibling:Mechanical_Engineering | Structural_Analysis_and_NVH                   → NVH_Engineering (similar_to, 0.75)
sibling:Autonomous_Driving | Sensor_Fusion                                 → ADAS_Vision_Algorithm (similar_to, 0.75)
sibling:Autonomous_Driving | Sensor_Fusion                                 → ADAS_Vehicle_Control_Logic (similar_to, 0.75)
sibling:Autonomous_Driving | ADAS_Vision_Algorithm                         → ADAS_Vehicle_Control_Logic (similar_to, 0.75)
sibling:Sensor_Fusion | Radar_System                                  → LiDAR_System (similar_to, 0.75)
sibling:UX_UI_Design | Data_Driven_Design                            → Smart_Home_UX_Design (similar_to, 0.75)
sibling:Financial_Compliance | Anti_Money_Laundering                         → Consumer_Protection (similar_to, 0.75)
sibling:Financial_Compliance | Anti_Money_Laundering                         → Basel_III_Compliance (similar_to, 0.75)
sibling:Financial_Compliance | Consumer_Protection                           → Basel_III_Compliance (similar_to, 0.75)
sibling:Corporate_Governance | Financial_Compliance                          → Corporate_Disclosure (similar_to, 0.75)
sibling:Corporate_Governance | Financial_Compliance                          → Corporate_Legal_Counsel (similar_to, 0.75)
sibling:Corporate_Governance | Corporate_Disclosure                          → Corporate_Legal_Counsel (similar_to, 0.75)
sibling:System_Architecture | Global_Service_Architecture                   → MSA_Transition_and_Lead (similar_to, 0.75)
sibling:Data_Analytics | Business_Data_Analysis                        → Business_Intelligence_System (similar_to, 0.75)
sibling:Public_Relations | Financial_Communication                       → Corporate_Crisis_Management (similar_to, 0.75)
sibling:Manufacturing_Engineering | Process_Engineering                           → Factory_Automation_System (similar_to, 0.75)
sibling:Manufacturing_Engineering | Process_Engineering                           → Factory_and_Logistics_Automation (similar_to, 0.75)
sibling:Manufacturing_Engineering | Factory_Automation_System                     → Factory_and_Logistics_Automation (similar_to, 0.75)
sibling:Treasury_Management | Global_Treasury_Operations                    → Corporate_Funding (similar_to, 0.75)
sibling:IT_Business_Alignment | ERP_System_Implementation                     → ERP_Process_Innovation (similar_to, 0.75)
sibling:Corporate_Operations | General_Affairs_Management                    → Human_Resources_Management (similar_to, 0.75)
sibling:Corporate_Operations | General_Affairs_Management                    → Supply_Chain_Management (similar_to, 0.75)
sibling:Corporate_Operations | General_Affairs_Management                    → HR_and_Admin_Management (similar_to, 0.75)
sibling:Corporate_Operations | General_Affairs_Management                    → HR_Strategy_and_Operations (similar_to, 0.75)
sibling:Corporate_Operations | Human_Resources_Management                    → Supply_Chain_Management (similar_to, 0.75)
sibling:Corporate_Operations | Human_Resources_Management                    → HR_and_Admin_Management (similar_to, 0.75)
sibling:Corporate_Operations | Human_Resources_Management                    → HR_Strategy_and_Operations (similar_to, 0.75)
sibling:Corporate_Operations | Supply_Chain_Management                       → HR_and_Admin_Management (similar_to, 0.75)
sibling:Corporate_Operations | Supply_Chain_Management                       → HR_Strategy_and_Operations (similar_to, 0.75)
sibling:Corporate_Operations | HR_and_Admin_Management                       → HR_Strategy_and_Operations (similar_to, 0.75)
sibling:HR_Operations | Employee_Welfare_and_Event                    → Labor_Law_Compliance (similar_to, 0.75)
sibling:Corporate_Communication | Public_Relations                              → Corporate_Public_Relations (similar_to, 0.75)
sibling:Quality_Assurance | Food_Safety_and_Quality_Control               → Laboratory_Compliance_and_Validation (similar_to, 0.75)
sibling:Quality_Assurance | Food_Safety_and_Quality_Control               → Equipment_Inspection_and_Diagnosis (similar_to, 0.75)
sibling:Quality_Assurance | Food_Safety_and_Quality_Control               → Validation_and_Qualification (similar_to, 0.75)
sibling:Quality_Assurance | Laboratory_Compliance_and_Validation          → Equipment_Inspection_and_Diagnosis (similar_to, 0.75)
sibling:Quality_Assurance | Laboratory_Compliance_and_Validation          → Validation_and_Qualification (similar_to, 0.75)
sibling:Quality_Assurance | Equipment_Inspection_and_Diagnosis            → Validation_and_Qualification (similar_to, 0.75)
sibling:EPC_Engineering | Plant_Mechanical_Design                       → Mechanical_Construction (similar_to, 0.75)
sibling:Mechanical_Construction | Heavy_Lifting_Operation                       → Field_Engineering_and_Coordination (similar_to, 0.75)
sibling:Site_Operations | Construction_Equipment_Management             → Field_Engineering_and_Coordination (similar_to, 0.75)
sibling:Plant_Operations | Mechanical_Equipment_Maintenance              → Facility_Planning_and_Engineering (similar_to, 0.75)
sibling:Operations_Management | Quality_Assurance_and_Control                 → Global_Supply_Chain_Management (similar_to, 0.75)
sibling:General_Affairs | Real_Estate_and_Asset_Management              → Corporate_Event_and_Welfare (similar_to, 0.75)
sibling:System_Software | Firmware_and_Embedded_Systems                 → NPU_Software_Stack (similar_to, 0.85)
sibling:System_Software | Firmware_and_Embedded_Systems                 → AI_Compiler_and_System_Tools (similar_to, 0.85)
sibling:System_Software | Firmware_and_Embedded_Systems                 → Embedded_System_and_Compiler_Optimization (similar_to, 0.85)
sibling:System_Software | Firmware_and_Embedded_Systems                 → GPU_Driver_and_Graphics_Pipeline (similar_to, 0.85)
sibling:System_Software | NPU_Software_Stack                            → AI_Compiler_and_System_Tools (similar_to, 0.85)
sibling:System_Software | NPU_Software_Stack                            → Embedded_System_and_Compiler_Optimization (similar_to, 0.85)
sibling:System_Software | NPU_Software_Stack                            → GPU_Driver_and_Graphics_Pipeline (similar_to, 0.85)
sibling:System_Software | AI_Compiler_and_System_Tools                  → Embedded_System_and_Compiler_Optimization (similar_to, 0.85)
sibling:System_Software | AI_Compiler_and_System_Tools                  → GPU_Driver_and_Graphics_Pipeline (similar_to, 0.85)
sibling:System_Software | Embedded_System_and_Compiler_Optimization     → GPU_Driver_and_Graphics_Pipeline (similar_to, 0.85)
sibling:AI_Software_Engineering | AI_Model_and_Distributed_Training             → NLP_and_LLM_Optimization (similar_to, 0.75)
tech_cross           | Docker                                        → CI_CD (related_to, 1.5)
tech_cross           | CI_CD                                         → Kubernetes (depends_on, 1.5)
tech_cross           | Monitoring                                    → CI_CD (related_to, 1.2)
tech_cross           | Monitoring                                    → Kubernetes (related_to, 1.2)
tech_cross           | CI_CD                                         → Infra_Engineer (related_to, 1.0)
tech_cross           | ML_Pipeline                                   → Model_Serving (depends_on, 1.5)
tech_cross           | ML_Pipeline                                   → Data_Engineering (depends_on, 1.5)
tech_cross           | LLM_Architecture                              → Model_Serving (related_to, 1.5)
tech_cross           | LLM_Models                                    → LLM_Architecture (related_to, 1.5)
tech_cross           | Recommendation_System                         → ML_Pipeline (depends_on, 1.2)
tech_cross           | Recommendation_System                         → Data_Engineering (related_to, 1.2)
tech_cross           | Hardware_Acceleration                         → MLOps (related_to, 1.2)
tech_cross           | Hardware_Acceleration                         → AI_Accelerator (related_to, 1.5)
tech_cross           | Distributed_Storage                           → Distributed_Training_Inference (related_to, 1.2)
tech_cross           | DPDK                                          → Kernel_Bypass (related_to, 1.5)
tech_cross           | SPDK                                          → Kernel_Bypass (related_to, 1.5)
tech_cross           | DPDK                                          → SPDK (similar_to, 1.2)
tech_cross           | SDS                                           → Distributed_Storage (related_to, 1.5)
tech_cross           | Backend_Java                                  → Database_Engine (related_to, 1.0)
tech_cross           | Backend_Python                                → Database_Engine (related_to, 1.0)
tech_cross           | Backend_Node                                  → Database_Engine (related_to, 1.0)
tech_cross           | Backend_Java                                  → Docker (related_to, 1.0)
tech_cross           | Backend_Python                                → Docker (related_to, 1.0)
tech_cross           | Backend_Java                                  → CI_CD (related_to, 1.0)
tech_cross           | Backend_Go                                    → Docker (related_to, 1.2)
tech_cross           | Backend_Go                                    → Kubernetes (related_to, 1.2)
tech_cross           | Fullstack                                     → Docker (related_to, 0.9)
tech_cross           | Mobile_iOS                                    → Mobile_CrossPlatform (related_to, 1.0)
tech_cross           | Frontend_React                                → Mobile_CrossPlatform (related_to, 0.9)
tech_cross           | Hardware_Acceleration                         → NPU (related_to, 1.5)
tech_cross           | Hardware_Offloading                           → Network_Hardware (related_to, 1.2)
tech_cross           | Test_Architecture                             → Hardware_Design (related_to, 1.2)
tech_cross           | Network_Hardware                              → Kernel_Bypass (related_to, 1.2)
tech_cross           | Network_Hardware                              → DPDK (related_to, 1.2)
tech_cross           | Database_Engine                               → Data_Structures (depends_on, 1.5)
tech_cross           | Database_Engine                               → Data_Pipeline_Construction (related_to, 1.0)
role_cross           | CFO_Role                                      → Treasury_Management (depends_on, 2.0)
role_cross           | CFO_Role                                      → IR_Management (depends_on, 1.8)
role_cross           | CFO_Role                                      → Mergers_and_Acquisitions (related_to, 1.8)
role_cross           | CFO_Role                                      → IPO_Preparation_and_Execution (related_to, 2.0)
role_cross           | CFO_Role                                      → Consolidated_Financial_Statements (depends_on, 1.8)
role_cross           | CFO_Role                                      → Internal_Control (depends_on, 1.5)
role_cross           | Valuation                                     → IPO_Preparation_and_Execution (depends_on, 1.8)
role_cross           | IPO_PR                                        → IPO_Preparation_and_Execution (depends_on, 2.0)
role_cross           | IPO_PR                                        → IR_Management (related_to, 1.5)
role_cross           | Strategic_Investment                          → Venture_Capital_Fundraising (related_to, 1.5)
role_cross           | New_Biz_Incubation                            → New_Business_Development (similar_to, 1.5)
role_cross           | Product_Core                                  → Product_Service_Planning (depends_on, 1.8)
role_cross           | Product_Core                                  → Data_Driven_Decision (related_to, 1.5)
role_cross           | Product_Core                                  → User_Research (depends_on, 1.5)
role_cross           | ML_Pipeline                                   → Product_Manager (related_to, 0.8)
role_cross           | Content_Marketing_Strategy                    → Content_Marketing (similar_to, 1.2)
role_cross           | CRM_Marketing                                 → CRM_Strategy (similar_to, 1.5)
role_cross           | Data_Driven_Marketing                         → Performance_Marketing (depends_on, 1.5)
role_cross           | IMC                                           → Brand_Management (related_to, 1.2)
role_cross           | ATS                                           → Human_Resources_Management (used_in, 1.5)
role_cross           | Cloud_and_Infrastructure_Security             → Kubernetes (related_to, 1.2)
role_cross           | A_B_Testing                                   → Data_Driven_Decision (depends_on, 1.5)
role_cross           | Demand_Forecasting                            → Data_Pipeline_Construction (depends_on, 1.2)
role_cross           | Machine_Learning_for_Business                 → Data_Driven_Decision (depends_on, 1.5)
role_cross           | E_Commerce_Data_Analysis                      → A_B_Testing (related_to, 1.2)
dedup                | 자금_Treasury                                   → Treasury_Management (similar_to, 2.0)
dedup                | Performance_Marketing                         → Digital_Campaign_Management (related_to, 1.0)
